age;gender;edu_level;years_of_experience;industry;learning_preferences;weekly_study_hours;motivation;fav_animals;sweet_or_salty;fav_place;hobbies;age_cleaned;gender_cleaned;years_of_experience_cleaned;hobbies_cleaned;hobby_art;hobby_books;hobby_movies;hobby_other;hobby_sport;hobby_video_games;sweet_or_salty_cleaned;fav_animals_cleaned;learning_pref_books;learning_pref_online_courses;learning_pref_offline_courses;learning_pref_chatgpt;learning_pref_teamwork;learning_pref_personal_projects;Uczenie innych osób.;learning_pref_workshops;motivation_cleaned;Rozwój kariery;Pasja i zainteresowania;Praca i elastyczność;Tworzenie i innowacje;Rozwój umiejętności;Wynagrodzenie
35-44;Mężczyzna;Doktorat;11-15 lat;IT;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Pasja do analizy danych;;;Góry;Sport, Filmy / Seriale;35-44;0.0;11-15;hobby_sport, hobby_movies;0;0;1;0;1;0;;Brak ulubionych;1;1;0;0;1;1;0;1;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
25-34;Kobieta;Doktorat;11-15 lat;Zdrowie;Kursy online, Warsztaty, Samodzielne projekty;10-15 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Las;Sport, Książki, Sztuka, Filmy / Seriale;25-34;1.0;11-15;hobby_sport, hobby_books, hobby_art, hobby_movies;1;1;1;0;1;0;sweet;Psy;0;1;0;0;0;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;16 i więcej;Kadry (HR);Kursy online, Warsztaty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych;Psy;Słodkie;Morze;Sport;35-44;0.0;>=16;hobby_sport;0;0;0;0;1;0;sweet;Psy;0;1;0;0;0;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Szkoła średnia / Technikum;0-2 lata;Marketing;Kursy online;10-15 godzin;Rozwój kariery, poznawanie nowych rzeczy;pająki;Słodkie;Góry;Książki, Gry komputerowe, Filmy / Seriale;35-44;0.0;0-2;hobby_books, hobby_video_games, hobby_movies;0;1;1;0;0;1;sweet;Inne;0;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Doktorat;16 i więcej;Edukacja;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;Mniej niż 5 godzin;Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych;Nie mam :) Mam kota, psa, ptaki, rybki i trójkę dzieci;;Morze;Z dziećmi :) ;45-54;0.0;>=16;hobby_other;0;0;0;1;0;0;;Inne;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Szkoła średnia / Technikum;6-10 lat;Produkcja;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Pasja do analizy danych, Wynagrodzenie;Koty;Słodkie;Morze;Książki;35-44;0.0;6-10;hobby_books;0;1;0;0;0;0;sweet;Koty;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
65 i więcej;Mężczyzna;mgr inż.;16 i więcej;Wellness;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;Więcej niż 20 godzin;Rozwiązywanie rzeczywistych problemów;Brak;Słodkie;Zielona oaza siedliskowa nad wodą.;Marketing internetowy;>=65;0.0;>=16;hobby_other;0;0;0;1;0;0;sweet;Brak ulubionych;1;1;0;0;1;1;0;1;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Magister;16 i więcej;IT;Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych;Psy;Słone;Góry;Spacery/wędrówki z bliskimi, z psem.;45-54;0.0;>=16;hobby_other, hobby_other;0;0;0;1;0;0;salty;Psy;0;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;11-15 lat;IT;Kursy online, Książki;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie;Koty;Słodkie;Miasto;Sport, Książki;35-44;0.0;11-15;hobby_sport, hobby_books;0;1;0;0;1;0;sweet;Koty;1;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Kobieta;Magister;6-10 lat;Marketing;Kursy online, Warsztaty;5-10 godzin;Wynagrodzenie, praca z AI;koty i psy;Słone;Morze;Sport, Książki, Filmy / Seriale;45-54;1.0;6-10;hobby_sport, hobby_books, hobby_movies;0;1;1;0;1;0;salty;Koty i Psy;0;1;0;0;0;0;0;1;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;6-10 lat;IT;Kursy online;Mniej niż 5 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie;Psy;Słone;Morze;Gry komputerowe, Filmy / Seriale;35-44;0.0;6-10;hobby_video_games, hobby_movies;0;0;1;0;0;1;salty;Psy;0;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
65 i więcej;Kobieta;Magister;16 i więcej;;Kursy online, Książki, Warsztaty, Praca zespołowa;5-10 godzin;Wyzwania intelektualne, Pasja do analizy danych;;Słone;Las;Książki;>=65;1.0;>=16;hobby_books;0;1;0;0;0;0;salty;Brak ulubionych;1;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Licencjat;0-2 lata;Chemia;Praca zespołowa;Mniej niż 5 godzin;Wyzwania intelektualne;Psy;Słodkie;Morze;Sport, Gry komputerowe, Filmy / Seriale;35-44;0.0;0-2;hobby_sport, hobby_video_games, hobby_movies;0;0;1;0;1;1;sweet;Psy;0;0;0;0;1;0;0;0;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Studia podyplomowe;6-10 lat;Nieruchomości;Kursy online, Warsztaty, Praca zespołowa;Więcej niż 20 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Morze;Majsterkuję w garażu;35-44;0.0;6-10;hobby_other;0;0;0;1;0;0;sweet;Psy;0;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Szkoła średnia / Technikum;16 i więcej;poligrafia;Kursy online, Warsztaty, Praca zespołowa;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Morze;Sport, Gry komputerowe;45-54;0.0;>=16;hobby_sport, hobby_video_games;0;0;0;0;1;1;sweet;Psy;0;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Magister;16 i więcej;;Samodzielne projekty;10-15 godzin;Wyzwania intelektualne;Psy;Słone;Las;;45-54;0.0;>=16;[];0;0;0;0;0;0;salty;Psy;0;0;0;0;0;1;0;0;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;16 i więcej;Administracja publiczna;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie;Koty;Słodkie;Góry;Książki, Filmy / Seriale;35-44;0.0;>=16;hobby_books, hobby_movies;0;1;1;0;0;0;sweet;Koty;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;11-15 lat;IT;Kursy online, Warsztaty, Praca zespołowa;Więcej niż 20 godzin;Rozwój kariery, Pasja do analizy danych;Koty;Słone;Góry;Sport;35-44;0.0;11-15;hobby_sport;0;0;0;0;1;0;salty;Koty;0;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Kobieta;Magister;6-10 lat;chemik branża automotive;Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Koty;Słone;Góry;Książki, Filmy / Seriale, wędrówki, jazda na rowerze, podróże, gotowanie ;25-34;1.0;6-10;hobby_books, hobby_movies, hobby_other, hobby_other, hobby_other, hobby_other;0;1;1;1;0;0;salty;Koty;0;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Licencjat;3-5 lat;IT;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie;Koty;Słodkie;Góry;Sport, Książki, Gry komputerowe;25-34;0.0;3-5;hobby_sport, hobby_books, hobby_video_games;0;1;0;0;1;1;sweet;Koty;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
55-64;Mężczyzna;Licencjat;11-15 lat;IT;Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie;konie;;ruch, spacer nad morzem;Gry komputerowe, Filmy / Seriale;55-64;0.0;11-15;hobby_video_games, hobby_movies;0;0;1;0;0;1;;Inne;0;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Kobieta;Szkoła średnia / Technikum;6-10 lat;usługi;Kursy online, Książki, Samodzielne projekty;10-15 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Morze;Książki;35-44;1.0;6-10;hobby_books;0;1;0;0;0;0;sweet;Psy;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;16 i więcej;obsługa klienta;Kursy online, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Koty;Słodkie;Morze;Sport, Książki, Filmy / Seriale;35-44;0.0;>=16;hobby_sport, hobby_books, hobby_movies;0;1;1;0;1;0;sweet;Koty;0;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Szkoła średnia / Technikum;3-5 lat;brak;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie;ptaki;Słodkie;dom;Sport, Książki, Sztuka;25-34;0.0;3-5;hobby_sport, hobby_books, hobby_art;1;1;0;0;1;0;sweet;Inne;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Szkoła średnia / Technikum;16 i więcej;Budowlana;Kursy online, Książki, Warsztaty, Praca zespołowa;Mniej niż 5 godzin;Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie;Koty;Słone;we wszystkich miejscach czuje sie dobrze;Sport, Książki, Gry komputerowe, Filmy / Seriale;45-54;0.0;>=16;hobby_sport, hobby_books, hobby_video_games, hobby_movies;0;1;1;0;1;1;salty;Koty;1;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Szkoła średnia / Technikum;6-10 lat;Automatyka i robotyka;Kursy online, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wynagrodzenie, Chęć zmiany zawodu;Psy;Słone;Morze;Sport, Gry komputerowe, Filmy / Seriale;25-34;0.0;6-10;hobby_sport, hobby_video_games, hobby_movies;0;0;1;0;1;1;salty;Psy;0;1;0;0;1;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
