Timestamp,Wiek,Płeć,Poziom wykształcenia,Liczba lat doświadczenia zawodowego,Obecna branża,"Jak preferujesz się uczyć? (wybierz wszystkie, które pasują)",Ile czasu tygodniowo możesz poświęcić na naukę data science i AI?,Co najbardziej motywuje Cię do nauki data science i AI? (wybierz maks. 3),Jak zwierzęta są Twoimi ulubionymi?,Bardziej lubisz przysmaki słodkie czy słone?,Jakie jest Twoje ulubione miejsce na ziemi?,Jak spędzasz wolny czas?
7/7/2024 18:37:27,35-44,Mężczyzna,Doktorat,11-15 lat,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,Pasja do analizy danych,,,Góry,"Sport, Filmy / Seriale"
7/7/2024 18:53:26,25-34,Kobieta,Doktorat,11-15 lat,Zdrowie,"Kursy online, Warsztaty, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Las,"Sport, Książki, Sztuka, Filmy / Seriale"
7/7/2024 21:39:39,35-44,Mężczyzna,Magister,16 i więcej,Kadry (HR),"Kursy online, Warsztaty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych",Psy,Słodkie,Morze,Sport
7/7/2024 21:51:44,35-44,Mężczyzna,Szkoła średnia / Technikum,0-2 lata,Marketing,Kursy online,10-15 godzin,"Rozwój kariery, poznawanie nowych rzeczy",pająki,Słodkie,Góry,"Książki, Gry komputerowe, Filmy / Seriale"
7/7/2024 21:56:58,45-54,Mężczyzna,Doktorat,16 i więcej,Edukacja,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",Mniej niż 5 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych","Nie mam :) Mam kota, psa, ptaki, rybki i trójkę dzieci",,Morze,Z dziećmi :) 
7/8/2024 6:50:00,35-44,Mężczyzna,Szkoła średnia / Technikum,6-10 lat,Produkcja,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Pasja do analizy danych, Wynagrodzenie",Koty,Słodkie,Morze,Książki
7/8/2024 8:03:29,65 i więcej,Mężczyzna,mgr inż.,16 i więcej,Wellness,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",Więcej niż 20 godzin,Rozwiązywanie rzeczywistych problemów,Brak,Słodkie,Zielona oaza siedliskowa nad wodą.,Marketing internetowy
7/8/2024 9:35:54,45-54,Mężczyzna,Magister,16 i więcej,IT,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych",Psy,Słone,Góry,"Spacery/wędrówki z bliskimi, z psem."
7/8/2024 10:28:58,35-44,Mężczyzna,Magister,11-15 lat,IT,"Kursy online, Książki",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Koty,Słodkie,Miasto,"Sport, Książki"
7/8/2024 11:03:11,45-54,Kobieta,Magister,6-10 lat,Marketing,"Kursy online, Warsztaty",5-10 godzin,"Wynagrodzenie, praca z AI",koty i psy,Słone,Morze,"Sport, Książki, Filmy / Seriale"
7/8/2024 11:29:14,35-44,Mężczyzna,Magister,6-10 lat,IT,Kursy online,Mniej niż 5 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Psy,Słone,Morze,"Gry komputerowe, Filmy / Seriale"
7/8/2024 12:02:58,65 i więcej,Kobieta,Magister,16 i więcej,,"Kursy online, Książki, Warsztaty, Praca zespołowa",5-10 godzin,"Wyzwania intelektualne, Pasja do analizy danych",,Słone,Las,Książki
7/8/2024 12:27:13,35-44,Mężczyzna,Licencjat,0-2 lata,Chemia,Praca zespołowa,Mniej niż 5 godzin,Wyzwania intelektualne,Psy,Słodkie,Morze,"Sport, Gry komputerowe, Filmy / Seriale"
7/8/2024 12:45:56,35-44,Mężczyzna,Studia podyplomowe,6-10 lat,Nieruchomości,"Kursy online, Warsztaty, Praca zespołowa",Więcej niż 20 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Morze,Majsterkuję w garażu
7/8/2024 13:03:05,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,poligrafia,"Kursy online, Warsztaty, Praca zespołowa",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Morze,"Sport, Gry komputerowe"
7/8/2024 13:15:56,45-54,Mężczyzna,Magister,16 i więcej,,Samodzielne projekty,10-15 godzin,Wyzwania intelektualne,Psy,Słone,Las,
7/8/2024 14:23:24,35-44,Mężczyzna,Magister,16 i więcej,Administracja publiczna,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie",Koty,Słodkie,Góry,"Książki, Filmy / Seriale"
7/8/2024 14:35:42,35-44,Mężczyzna,Magister,11-15 lat,IT,"Kursy online, Warsztaty, Praca zespołowa",Więcej niż 20 godzin,"Rozwój kariery, Pasja do analizy danych",Koty,Słone,Góry,Sport
7/8/2024 14:35:42,25-34,Kobieta,Magister,6-10 lat,chemik branża automotive,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Koty,Słone,Góry,"Książki, Filmy / Seriale, wędrówki, jazda na rowerze, podróże, gotowanie "
7/8/2024 15:10:56,25-34,Mężczyzna,Licencjat,3-5 lat,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Koty,Słodkie,Góry,"Sport, Książki, Gry komputerowe"
7/8/2024 15:57:31,55-64,Mężczyzna,Licencjat,11-15 lat,IT,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",konie,,"ruch, spacer nad morzem","Gry komputerowe, Filmy / Seriale"
7/8/2024 16:11:06,35-44,Kobieta,Szkoła średnia / Technikum,6-10 lat,usługi,"Kursy online, Książki, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Morze,Książki
7/8/2024 17:00:31,35-44,Mężczyzna,Magister,16 i więcej,obsługa klienta,"Kursy online, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Koty,Słodkie,Morze,"Sport, Książki, Filmy / Seriale"
7/8/2024 17:20:25,25-34,Mężczyzna,Szkoła średnia / Technikum,3-5 lat,brak,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",ptaki,Słodkie,dom,"Sport, Książki, Sztuka"
7/8/2024 18:15:35,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,Budowlana,"Kursy online, Książki, Warsztaty, Praca zespołowa",Mniej niż 5 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Koty,Słone,we wszystkich miejscach czuje sie dobrze,"Sport, Książki, Gry komputerowe, Filmy / Seriale"
7/8/2024 18:16:04,25-34,Mężczyzna,Szkoła średnia / Technikum,6-10 lat,Automatyka i robotyka,"Kursy online, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wynagrodzenie, Chęć zmiany zawodu",Psy,Słone,Morze,"Sport, Gry komputerowe, Filmy / Seriale"
7/8/2024 18:18:46,25-34,Mężczyzna,Szkoła średnia / Technikum,3-5 lat,Bezrobotny,Książki,10-15 godzin,"Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie",Ptaki,Słone,Góry,"Sport, Książki, Filmy / Seriale"
7/8/2024 18:21:18,35-44,Mężczyzna,Licencjat,16 i więcej,Finanse,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",,Słodkie,Morze,Książki
7/8/2024 18:50:15,45-54,Mężczyzna,Szkoła zawodowa,16 i więcej,Zdrowie,"Kursy online, Książki, Warsztaty, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Pasja do analizy danych",Psy,,Góry,"Sztuka, Filmy / Seriale"
7/8/2024 19:06:01,25-34,Mężczyzna,Magister,6-10 lat,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty, Praca z ChatGPT",Mniej niż 5 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Góry,"Gry komputerowe, Filmy / Seriale"
7/8/2024 19:40:34,45-54,Mężczyzna,Magister,16 i więcej,IT,"Kursy online, Książki",Mniej niż 5 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Koty,Słodkie,Las,"Sport, Sztuka, Filmy / Seriale"
7/8/2024 20:04:24,35-44,,Magister,11-15 lat,,"Kursy online, Książki",5-10 godzin,Rozwój kariery,Psy,Słone,Góry,"Gry komputerowe, Filmy / Seriale"
7/8/2024 20:04:25,35-44,Mężczyzna,Magister,16 i więcej,Finanse,Kursy online,5-10 godzin,"Rozwój kariery, Pasja do analizy danych, Wynagrodzenie",nie lubię,Słodkie,Las,"jazda rowerem, audiobooki"
7/8/2024 20:04:33,35-44,Kobieta,Szkoła średnia / Technikum,11-15 lat,Zdrowie,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",15-20 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słone,Morze,Książki
7/8/2024 20:12:49,45-54,Kobieta,Magister,16 i więcej,IT,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Jezioro,"Książki, Gry komputerowe, Filmy / Seriale"
7/8/2024 20:21:56,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,izynier GPS,"Kursy online, Książki, Warsztaty, Praca zespołowa",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych, Wynagrodzenie",Psy,Słodkie,Morze,Sport
7/8/2024 20:30:28,35-44,Mężczyzna,Magister,16 i więcej,Administracja publiczna,"Kursy online, Książki, Warsztaty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",ptaki,Słone,Góry,"Książki, Filmy / Seriale"
7/8/2024 20:33:46,45-54,Kobieta,Magister,0-2 lata,Opieka,"Kursy online, Warsztaty, Samodzielne projekty",Więcej niż 20 godzin,Rozwój kariery,Psy,Słodkie,Morze,"Filmy / Seriale, Internet "
7/8/2024 20:33:59,,,,,,,,,,,,
7/8/2024 20:36:26,65 i więcej,Kobieta,Magister,16 i więcej,emeryt,"Kursy online, Książki, Samodzielne projekty",10-15 godzin,"Wyzwania intelektualne, Pasja do analizy danych",,Słodkie,Góry,"Książki, Sztuka, spacer, gry w telefonie"
7/8/2024 20:50:52,45-54,Kobieta,Magister,16 i więcej,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",Mniej niż 5 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",,Słone,Góry,"Książki, Filmy / Seriale, podróże"
7/8/2024 21:18:16,45-54,Kobieta,Magister,16 i więcej,Hotelarstwo,"Kursy online, Książki, Praca zespołowa, Kursy stacjonarne",10-15 godzin,"Rozwój kariery, Wyzwania intelektualne, możliwość pracy zdalnej","Konie, żółwie",Słone,Las,"Sport, Książki, Filmy / Seriale"
7/8/2024 21:21:01,25-34,Kobieta,Licencjat,6-10 lat,Budowa maszyn ,"Kursy online, Książki, Warsztaty, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie",Psy,Słodkie,Dom,"Książki, Filmy / Seriale"
7/8/2024 21:33:35,18-24,Mężczyzna,Magister,6-10 lat,energetyka,Kursy online,5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",,Słodkie,Góry,"Sport, Filmy / Seriale, turystyka piesza"
7/8/2024 21:39:54,35-44,Mężczyzna,Magister,11-15 lat,Logistyka,"Kursy online, Książki, Samodzielne projekty",Mniej niż 5 godzin,"Rozwój kariery, Wynagrodzenie",Psy,Słone,Las,"Książki, Filmy / Seriale"
7/8/2024 22:22:19,25-34,Mężczyzna,Szkoła średnia / Technikum,11-15 lat,Branża Produkcyjno Usługowa ,Kursy online,5-10 godzin,Rozwiązywanie rzeczywistych problemów,Koty,Słone,Las,Pracuje w warsztacie samochodowym przy własnym projekcie 
7/8/2024 22:39:01,55-64,Mężczyzna,Doktorat,16 i więcej,IT,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Góry,"Sport, Książki"
7/8/2024 22:57:28,35-44,Mężczyzna,Magister,16 i więcej,Marketing,"Kursy online, Samodzielne projekty",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słone,Góry,Książki
7/8/2024 23:05:51,35-44,Mężczyzna,Magister,6-10 lat,Motoryzacja,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Psy,Słone,Las,"Sport, Książki, Gry komputerowe, Filmy / Seriale"
7/8/2024 23:14:01,35-44,Mężczyzna,Magister,11-15 lat,Finanse,"Kursy online, Warsztaty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Nie mam ulubionych zwierząt,Słodkie,Morze,"Sport, Z rodziną"
7/9/2024 0:34:09,45-54,Mężczyzna,Magister,16 i więcej,Edukacja,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",10-15 godzin,"Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych, Wynagrodzenie",Psy,Słone,Góry połączone z jeziorem,"Sport, Książki, Filmy / Seriale"
7/9/2024 1:31:09,35-44,Mężczyzna,Magister,11-15 lat,"Media, fotografia, wideo dron, ...","Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",15-20 godzin,,Pingwiny,Słone,Morze,"Książki, Sztuka, Psychologia społeczna"
7/9/2024 13:00:55,35-44,Kobieta,Szkoła zawodowa,16 i więcej,usługi,"Kursy online, Warsztaty, Praca zespołowa",5-10 godzin,zdobycie nowych umiejętności,,,,spotkania z ludźmi
7/9/2024 14:04:48,35-44,Kobieta,Magister,16 i więcej,"Bez pracy, ostatnio HR","Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, rozwój osobisty",lubię i koty i psy ;),Słodkie,Góry,"Książki, Filmy / Seriale, puzzle"
7/9/2024 14:53:59,35-44,Mężczyzna,Licencjat,16 i więcej,"logistyka, zakupy w dystrybucji IT","Kursy online, Warsztaty",Mniej niż 5 godzin,"Rozwój kariery, Pasja do analizy danych, Wynagrodzenie",Koty,Słodkie,Góry,Sport
7/9/2024 16:23:15,65 i więcej,Mężczyzna,Magister,16 i więcej,R&D,,Więcej niż 20 godzin,"Wyzwania intelektualne, Pasja do analizy danych",,Słodkie,Góry,"Sport, Książki, R&D + ... odpoczywam ;)"
7/9/2024 19:51:20,45-54,Mężczyzna,Licencjat,16 i więcej,Finanse,"Kursy online, Książki, Warsztaty",10-15 godzin,Pasja do analizy danych,papugi,Słone,wieś,Sztuka
7/9/2024 20:19:52,45-54,Mężczyzna,Magister,16 i więcej,Produkcja,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Morze,"Sport, Książki, Gry komputerowe, Filmy / Seriale"
7/9/2024 20:27:06,35-44,Mężczyzna,inżynier,16 i więcej,przemysł - zarządzanie jakością,"Kursy online, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Pasja do analizy danych, Wynagrodzenie",Psy,Słone,Morze,Sport
7/9/2024 23:09:53,25-34,Kobieta,Magister,6-10 lat,Inżyniera ,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie",Psy,Słodkie,Morze,Filmy / Seriale
7/9/2024 23:25:27,35-44,Kobieta,Magister,11-15 lat,"Pracownik naukowy: Nawigacja samolotowa, systemy nawigacji satelitarnej, ","Kursy online, Książki, Warsztaty, Samodzielne projekty",10-15 godzin,"Wyzwania intelektualne, Pasja do analizy danych",Misie koala,Słodkie,Morze,"Ukladanie puzli, praca w ogrodzie przy kwiatach"
7/10/2024 0:08:27,55-64,Mężczyzna,Magister,16 i więcej,Zdrowie,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, własny projekt",Psy,Słone,Morze,Książki
7/10/2024 0:10:17,55-64,Mężczyzna,Magister,,Zdrowie,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, własny projekt",Psy,Słone,Morze,Książki
7/10/2024 0:13:06,45-54,Mężczyzna,Magister,16 i więcej,administrator sieci i systemów w służbie zdrowia,"Kursy online, Praca zespołowa",15-20 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie, znalezienie właściwej dla siebie drogi dla zmiany sytuacji zawodowej",Psy i Koty,Słone,Morze Las ,"Filmy / Seriale, Komputery systemy szkololenia "
7/10/2024 8:50:23,35-44,Mężczyzna,Inżynier ,11-15 lat,FMCG ,"Kursy online, Książki, Samodzielne projekty",Więcej niż 20 godzin,"Rozwój kariery, Wynagrodzenie",Psy,Słone,Góry,"Sport, Gry komputerowe"
7/10/2024 9:05:47,35-44,Kobieta,Magister,11-15 lat,produkcja,"Kursy online, Samodzielne projekty",Mniej niż 5 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Las,Sport
7/10/2024 14:32:35,55-64,Mężczyzna,Magister,16 i więcej,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Pasja do analizy danych, Dodanie kompetencji Data Science do obecnego profilu IT, jako dźwigni zwiększającej mój projektowy zasięg (getting out of the box).","Lubię koty, ale mam psa, który jest moim przyjacielem i dba abym się nie przepracowywał. Oprócz tego pies zwiększa moje kompetencje społeczne na osiedlu, co jest ważne, gdy pracujesz w IT. A więc koniunkcja: i koty i psy. ",Słone,Morze,"Sport, Sztuka, Filmy / Seriale"
7/10/2024 19:36:43,35-44,Kobieta,Magister,6-10 lat,fundusze europejskie,"Kursy online, Książki, Warsztaty",5-10 godzin,Rozwój kariery,Psy,Słodkie,"góry, morze, las","Sport, Książki, Filmy / Seriale"
7/10/2024 20:29:44,25-34,Kobieta,Magister,6-10 lat,Zdrowie,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Las,"Sport, Filmy / Seriale, spotkania z rodziną i przyjaciółmi"
7/10/2024 21:13:22,35-44,Mężczyzna,Doktorat,11-15 lat,Administracja ,"Kursy online, Książki, Warsztaty",Mniej niż 5 godzin,"Rozwój kariery, Wyzwania intelektualne",Psy,Słone,Teren nad rzeką ,"Sport, Książki, Opieka nad dzieckiem "
7/10/2024 21:59:00,25-34,Mężczyzna,Inżynier,6-10 lat,Projektowanie mebli na wymiar,"Kursy online, Książki, Samodzielne projekty",Mniej niż 5 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Wszystkie,Słodkie,Góry,"Sport, Filmy / Seriale"
7/11/2024 0:58:26,55-64,Mężczyzna,Magister,16 i więcej,IT,Kursy online,5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych",Psy,Słodkie,Miasto,Książki
7/11/2024 10:05:01,18-24,Mężczyzna,Szkoła średnia / Technikum,0-2 lata,IT,"Kursy online, Książki, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Psy,Słone,Góry,
7/11/2024 15:48:19,35-44,Kobieta,Licencjat,0-2 lata,Zdrowie,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Pasja do analizy danych",Psy,Słone,Morze,Książki
7/11/2024 18:56:04,45-54,Mężczyzna,Licencjat,16 i więcej,Logistyka ,Kursy online,10-15 godzin,"Rozwój kariery, Wyzwania intelektualne, Pasja do analizy danych",Psy,Słone,Albania ,"Książki, Sztuka, Filmy / Seriale"
7/11/2024 19:16:22,35-44,Kobieta,Doktorat,16 i więcej,Ochrona Środowiska,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",jaszczurki,Słodkie,Mazury,"Książki, Nauka angielskiego"
7/11/2024 21:56:30,45-54,Kobieta,Magister,16 i więcej,IT,"Kursy online, Książki, Warsztaty",5-10 godzin,Rozwój kariery,Psy,Słodkie,Morze,"Książki, Filmy / Seriale"
7/12/2024 10:49:49,35-44,Mężczyzna,Licencjat,0-2 lata,Finanse,"Praca zespołowa, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych",,Słone,Góry,Sport
7/12/2024 20:09:08,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,IT,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie",Psy,Słone,Góry,Sport
7/12/2024 21:06:08,25-34,Mężczyzna,Magister,6-10 lat,Automotiv,"Kursy online, Książki",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Psy,Słone,Morze,"Sport, Książki"
7/12/2024 22:32:25,35-44,Mężczyzna,Magister,6-10 lat,Finanse,"Kursy online, Książki, Warsztaty",Mniej niż 5 godzin,"Rozwój kariery, Wynagrodzenie",Psy,Słone,Morze,"Sport, Książki, Sztuka, Filmy / Seriale"
7/13/2024 8:54:36,25-34,Mężczyzna,Magister,3-5 lat,Pomoc Społeczna (Asystent osobisty osoby z niepełnosprawnością),"Kursy online, Praca zespołowa, Samodzielne projekty",5-10 godzin,Rozwój kariery,Króliki minaturki,Słodkie,Las,"Gry komputerowe, Filmy / Seriale"
7/13/2024 11:51:26,25-34,Mężczyzna,Szkoła średnia / Technikum,0-2 lata,Zabezpieczenia transportowe,"Kursy online, Książki, Warsztaty, Praca zespołowa",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słone,Góry,"Sport, Gry komputerowe"
7/13/2024 12:30:27,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,Marketing,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Pomoc w realizacji swoich pomysłów",egzotyczne,Słodkie,Las,"Sport, Książki, Gry komputerowe"
7/13/2024 12:54:42,Nie chcę podawać,Kobieta,Doktorat,16 i więcej,,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",15-20 godzin,"Rozwój kariery, Wyzwania intelektualne, Pasja do analizy danych",Psy,Słodkie,Morze,"Książki, Sztuka, "
7/13/2024 17:08:32,35-44,Mężczyzna,Licencjat,11-15 lat,Logistyka i Produkcja,"Kursy online, Warsztaty, Praca zespołowa",Więcej niż 20 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słone,Las,"Sport, Sztuka, Filmy / Seriale"
